level, accuracy, visists, branching, estimates, time, time min_max, used models,bfsAverage,estAverage
01 ChordMidpoint,1.00,500.0,1.00 - 1.00,90 - 150,0.13,0.12 / 0.14,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1000},1.00,120.00
02 ATrByOrthocenter,1.00,851.0,2.74 - 1.54 - 1.00 - 0.91 - 0.84 - 0.69,231 - 336 - 468 - 630 - 825 - 1056,0.23,0.19 / 0.93,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1498},1.29,591.00
03 AtrByCircumcenter,0.96,597.5,1.48 - 1.03 - 0.64 - 0.91 - 0.85,231 - 336 - 468 - 630 - 825,0.15,0.12 / 1.06,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 963},0.98,498.00
04 AEqualSegments1,0.96,1275.5,1.02 - 1.17 - 1.04 - 1.08 - 1.77 - 1.54 - 1.53,231 - 336 - 468 - 630 - 825 - 1056 - 1326,0.32,0.24 / 11.58,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1927},1.31,696.00
05 CircleTangentPL,1.00,831.0,1.00 - 1.21 - 1.02 - 1.20 - 1.00,90 - 150 - 231 - 336 - 468,0.22,0.18 / 0.82,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1496},1.09,255.00
06 TrapezoidCut,0.96,1069.5,2.26 - 1.64 - 1.07 - 1.19 - 0.76 - 0.63,630 - 825 - 1056 - 1326 - 1638 - 1995,0.27,0.18 / 3.35,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1447},1.26,1245.00
07 Angle45,0.99,500.0,1.00 - 0.99,48 - 90,0.14,0.13 / 0.17,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 988},0.99,69.00
08 Lozenge,0.82,1287.0,1.99 - 0.67 - 1.50 - 1.00 - 0.96 - 0.91 - 1.10 - 1.27 - 1.36,48 - 90 - 150 - 231 - 336 - 468 - 630 - 825 - 1056,0.38,0.25 / 2.63,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2038},1.20,426.00
09 CentroidOfQuadrilateral,0.95,2915.0,2.34 - 1.63 - 1.06 - 1.17 - 1.18 - 1.57 - 1.51 - 1.48,468 - 630 - 825 - 1056 - 1326 - 1638 - 1995 - 2400,0.74,0.29 / 12.67,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2377},1.49,1292.25
