level; accuracy; visists; branching factor; estimates; time; time minmax; usedmodels; connections
03 ShiftSegment;0.10;5327;5.85 - 7.95 - 7.15 - 6.71 - 6.91 - 7.04;385 - 532 - 711 - 925 - 1177 - 1470;199.49;23.56 / 276.25;{'06-01': 3, '06-02_redone': 3, '06-04_redone': 1, '06-09_redone_new_generation': 3, '06-05': 2};01, 02, 04, 05, 09
06 TCircleByRadius;0.85;23;1.00 - 0.33;28 - 55;0.87;0.72 / 1.51;{'06-07': 17};07
07 TranslateSegment;0.65;2429;6.05 - 8.33 - 7.85 - 8.73 - 8.92;134 - 230 - 363 - 539 - 764;94.30;2.37 / 203.88;{'06-03': 13, '06-04_redone': 1, '06-05': 5, '06-06': 11, '06-01': 3, '06-09_redone_new_generation': 11, '06-08_redone(2)': 8, '06-11': 1, '06-12': 1};01, 03, 04, 05, 08, 09, 11
