level, accuracy, visists, branching, estimates, time, time min_max, used models,bfsAverage,estAverage
delta04 EquilateralInCircle,1.00,1283.5,1.00 - 1.06 - 1.00 - 1.00 - 1.00 - 1.00,48 - 90 - 150 - 231 - 336 - 468,0.32,0.19 / 0.41,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2564},1.01,220.50
delta05 CutTwoRectangles,0.98,1935.5,2.88 - 2.44 - 1.60 - 1.21 - 1.09 - 1.11 - 0.75 - 0.76,5250 - 6006 - 6831 - 7728 - 8700 - 9750 - 10881 - 12096,0.47,0.18 / 27.41,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2449},1.48,8405.25
delta06 Sqrt2,1.00,1002.0,1.00 - 1.07 - 1.20 - 1.00 - 1.00 - 1.00,48 - 90 - 150 - 231 - 336 - 468,0.26,0.24 / 0.51,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1996},1.05,220.50
delta07 Sqrt3,1.00,1002.5,1.00 - 1.15 - 1.02 - 1.00 - 1.00 - 2.00 - 1.50,48 - 90 - 150 - 231 - 336 - 468 - 630,0.26,0.25 / 0.56,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2001},1.24,279.00
delta08 Angle15,0.97,849.5,1.00 - 1.01 - 0.99 - 0.97 - 1.00 - 0.67 - 1.00,48 - 90 - 150 - 231 - 336 - 468 - 630,0.23,0.19 / 0.51,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1643},0.95,279.00
delta09 SquareByOppMidpoints,0.95,1493.5,1.00 - 1.00 - 1.00 - 1.00 - 0.96 - 0.99 - 1.50 - 1.33 - 0.50,21 - 48 - 90 - 150 - 231 - 336 - 468 - 630 - 825,0.38,0.25 / 0.76,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2838},1.03,311.00
delta10 SquareByAdjMidpoints,0.93,1721.0,1.00 - 1.00 - 1.00 - 0.97 - 0.98 - 0.99 - 1.00 - 1.00 - 1.00 - 1.00 - 0.67 - 1.00 - 1.00 - 1.00,21 - 48 - 90 - 150 - 231 - 336 - 468 - 630 - 825 - 1056 - 1326 - 1638 - 1995 - 2400,0.45,0.27 / 0.92,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 3250},0.97,801.00
epsilon01 Parallel,0.70,426.0,0.71 - 1.00 - 1.00,90 - 150 - 231,0.11,0.06 / 0.20,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 700},0.90,157.00
epsilon02 TParallel,0.53,250.0,0.53,16,0.07,0.06 / 0.09,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 265},0.53,16.00
epsilon03 Parallelogram3V,0.86,1136.5,1.00 - 1.01 - 1.07 - 1.18 - 1.87,57 - 106 - 175 - 267 - 385,0.30,0.13 / 2.49,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1722},1.23,198.00
